"","box_id","year","date_flown"
"349",1,2019,2019-11-08
"350",24,2019,2019-11-09
"356",8,2019,2019-11-15
"359",20,2019,2019-11-18
"360",9,2019,2019-11-19
"362",6,2019,2019-11-21
"363",19,2019,2019-11-22
"369",16,2020,2020-10-12
"370",23,2020,2020-10-13
"371",13,2020,2020-10-14
"372",18,2020,2020-10-15
"373",12,2020,2020-10-16
"374",14,2020,2020-10-17
"377",15,2020,2020-10-20
"378",17,2020,2020-10-21
"379",8,2020,2020-10-22
"380",1,2020,2020-10-23
"381",9,2020,2020-10-24
"383",5,2020,2020-10-26
"385",10,2020,2020-10-28
"387",21,2020,2020-10-30
"388",22,2020,2020-10-31
"389",6,2020,2020-11-01
"390",7,2020,2020-11-02
"392",4,2020,2020-11-04
"397",11,2020,2020-11-09
"398",2,2020,2020-11-10
"399",24,2020,2020-11-11
"400",19,2020,2020-11-12
"401",20,2020,2020-11-13
"408",3,2020,2020-11-20
"418",10,2021,2021-10-16
"419",11,2021,2021-10-17
"420",16,2021,2021-10-18
"421",12,2021,2021-10-19
"422",8,2021,2021-10-20
"426",23,2021,2021-10-24
"427",13,2021,2021-10-25
"428",18,2021,2021-10-26
"432",15,2021,2021-10-30
"435",3,2021,2021-11-02
"436",22,2021,2021-11-03
"437",14,2021,2021-11-04
"439",4,2021,2021-11-06
"441",5,2021,2021-11-08
"442",17,2021,2021-11-09
"443",7,2021,2021-11-10
"444",1,2021,2021-11-11
"445",24,2021,2021-11-12
"447",21,2021,2021-11-14
"451",19,2021,2021-11-18
"452",20,2021,2021-11-19
"458",2,2021,2021-11-25
